metric_id,sequence,period_label,actual_value,ui_trend_index,unit
fall_headcount,1,Fall 2020,17580,88,students
fall_headcount,2,Fall 2021,18120,91,students
fall_headcount,3,Fall 2022,18715,94,students
fall_headcount,4,Fall 2023,19018,96,students
fall_headcount,5,Fall 2024,19234,99,students
fall_headcount,6,Fall 2025,18426,95,students
first_year_retention,1,2020 cohort,0.7,70,rate
first_year_retention,2,2021 cohort,0.72,72,rate
first_year_retention,3,2022 cohort,0.71,71,rate
first_year_retention,4,2023 cohort,0.74,74,rate
first_year_retention,5,2024 prior,0.776,76,rate
first_year_retention,6,2024 certified,0.784,78,rate
ipeds_source_backed_packages,1,Current package contract,1,1,packages
open_quality_issues,1,Week -5,53,92,issues
open_quality_issues,2,Week -4,48,84,issues
open_quality_issues,3,Week -3,44,70,issues
open_quality_issues,4,Week -2,39,63,issues
open_quality_issues,5,Prior week,36,50,issues
open_quality_issues,6,Current week,27,41,issues
