UNITID,SURVSECT,PART,ADM_OPEN,REQ_FIRSTTIME,REQ_IN,REQS_SAME,FIRSTTIME_ENROLL,TRANSFER_ENROLL,IN_TRANSFER_CREDIT,IN_REQ_MIN_CREDIT,IN_REQ_MINHOUR_TYPE,IN_REQ_MINHOUR,ReviewStatus,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,ADMCON13,ADMCON14,LINE,RACE,SEX,COUNT,ADMSEX,SATINUM,SATIPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,SATVR50,SATMT50,ACTCM50,ACTEN50,ACTMT50,WL,WL_RANKED
999999,ADM,9,2,1,1,1,1,1,1,2,2,0,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,A,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,1,1,1,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,E,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,1,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,1,1,1,483,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,2,1,1,329,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,3,1,1,331,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,1,1,2,523,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,2,1,2,357,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,3,1,2,358,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,1,2,1,483,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,2,2,1,329,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,3,2,1,331,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,1,2,2,523,,,,,,,,,,,,,,,,,,,,,,
999999,ADM,B,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,2,2,2,357,,,,,,,,,,,,,,,,,,,,,,
