UNITID,SURVSECT,PART,LINE,RACE,SEX,COUNT,ReviewStatus,FYSEXUG,FYSEXG,ENROLL_EXCLUSIVE,ENROLL_SOME,NOTENROLL,DISTANCE_TOTAL,CREDHRSU,CONTHRS,CREDHRSG,RDOCFTE,ETOTFTE,RTOTFTE,ENROLLHS,ENROLLHS_WITHIN,ENROLLHS_OUTSIDE
999999,E1D,A,3,9,2,134,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,7,1,76,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,4,2,73,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,8,1,73,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,5,1,62,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,5,2,76,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,3,1,60,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,8,2,70,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,4,1,80,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,6,2,83,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,3,2,73,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,9,1,147,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,7,2,76,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,3,6,1,61,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,5,2,470,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,6,1,528,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,4,1,457,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,3,2,467,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,9,1,991,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,8,1,486,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,9,2,1019,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,6,2,452,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,4,2,484,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,7,1,491,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,5,1,514,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,3,1,493,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,7,2,504,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,A,1,8,2,559,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,D,,,,,Generated from governed source mart,8228,1139,,,,,,,,,,,,,
999999,E1D,C,1,,,,Generated from governed source mart,,,3317,4975,10134,18426,,,,,,,,,
999999,E1D,B,,,,,Generated from governed source mart,,,,,,,437174,0,64010,0,16706,16706,,,
999999,E1D,E,,9,1,282,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,E,,9,2,283,Generated from governed source mart,,,,,,,,,,,,,,,
999999,E1D,F,,,,,Generated from governed source mart,,,,,,,,,,,,,436,291,145
