UNITID,SURVSECT,PART,CIPCODE,LINE,RACE,SEX,COUNT,ReviewStatus,SLEVEL,EFSEXUG,EFSEXG,ENROLL_EXCLUSIVE,ENROLL_SOME,NOTENROLL,DISTANCE_TOTAL,INUS_PPS,INUS_NOTPPS,INUS_UNKNOWN_STATE,OUTSIDEUS,LOCATION_UNKNOWN,HS,EFD02,EFD03,FT_PY_COHORT,FT_EXCLUSIONS,FT_INCLUSIONS,FT_ADJUSTED_COHORT,FT_CY_COHORT,RET_PCF,PT_PY_COHORT,PT_EXCLUSIONS,PT_INCLUSIONS,PT_ADJUSTED_COHORT,PT_CY_COHORT,RET_PCP,ST_STAFF_RATIO
999999,EF1,A,99.0000,1,3,1,231,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,3,2,186,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,4,1,198,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,4,2,214,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,5,1,211,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,5,2,188,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,6,1,224,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,6,2,180,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,7,1,204,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,7,2,228,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,8,1,199,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,8,2,268,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,9,1,453,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,1,9,2,459,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,3,1,52,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,3,2,63,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,4,1,64,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,4,2,63,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,5,1,44,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,5,2,56,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,6,1,50,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,6,2,72,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,7,1,59,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,7,2,61,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,8,1,51,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,8,2,52,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,9,1,120,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,11,9,2,106,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,15,3,1,52,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,EF1,A,99.0000,15,3,2,58,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
