UNITID,SURVSECT,PART,FY_BEGIN_MONTH,FY_BEGIN_YEAR,FY_END_MONTH,FY_END_YEAR,GPFS,ALTMETH,ATH_REV_1,ATH_REV_2,ATH_REV_4,ATH_EXP_1,ATH_EXP_2,ATH_EXP_4,ReviewStatus,LINE,AMOUNT
999999,F1B,9,7,2024,6,2025,1,1,0,0,0,0,0,0,Generated from the disclosed package input contract; review the package source-readiness classification,,
999999,F1B,A,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,684200000
999999,F1B,A,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,214500000
999999,F1B,A,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,3,469700000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,238400000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,18500000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,3,162000000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,4,12400000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,5,94700000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,6,38200000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,7,17100000
999999,F1B,B,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,8,68800000
999999,F1B,E,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,241000000
999999,F1B,E,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,89500000
999999,F1B,E,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,3,32600000
999999,F1B,E,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,4,62400000
999999,F1B,E,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,5,47500000
999999,F1B,E,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,6,71100000
999999,F1B,E,,,,,,,,,,,,,Generated from the disclosed package input contract; review the package source-readiness classification,7,53600000
