UNITID,SURVSECT,PART,SECTION,LINE,RACE,SEX,COUNT,ReviewStatus,PELLGRANT_RCPT,DIRECTLOAN_RCPT,NON_RCPT
999999,GR1,B,1,2,8,3,1,Generated from governed source mart,,,
999999,GR1,B,1,1,6,3,170,Generated from governed source mart,,,
999999,GR1,B,1,1,5,2,86,Generated from governed source mart,,,
999999,GR1,B,1,1,5,3,202,Generated from governed source mart,,,
999999,GR1,B,1,1,6,1,92,Generated from governed source mart,,,
999999,GR1,B,1,1,3,3,184,Generated from governed source mart,,,
999999,GR1,B,1,1,8,3,193,Generated from governed source mart,,,
999999,GR1,B,1,1,4,1,97,Generated from governed source mart,,,
999999,GR1,B,1,1,9,3,371,Generated from governed source mart,,,
999999,GR1,B,1,1,3,2,87,Generated from governed source mart,,,
999999,GR1,B,1,1,9,2,194,Generated from governed source mart,,,
999999,GR1,B,1,1,9,1,192,Generated from governed source mart,,,
999999,GR1,B,1,1,8,1,74,Generated from governed source mart,,,
999999,GR1,B,1,1,7,3,199,Generated from governed source mart,,,
999999,GR1,B,1,1,4,2,82,Generated from governed source mart,,,
999999,GR1,B,1,1,7,1,85,Generated from governed source mart,,,
999999,GR1,B,1,1,4,3,195,Generated from governed source mart,,,
999999,GR1,B,1,1,6,2,69,Generated from governed source mart,,,
999999,GR1,B,1,1,5,1,80,Generated from governed source mart,,,
999999,GR1,B,1,1,3,1,100,Generated from governed source mart,,,
999999,GR1,B,1,1,8,2,109,Generated from governed source mart,,,
999999,GR1,B,1,1,7,2,88,Generated from governed source mart,,,
999999,GR1,B,1,2,5,2,1,Generated from governed source mart,,,
999999,GR1,B,1,2,5,3,2,Generated from governed source mart,,,
999999,GR1,B,1,2,9,3,9,Generated from governed source mart,,,
999999,GR1,B,1,2,4,1,4,Generated from governed source mart,,,
999999,GR1,B,1,2,9,2,4,Generated from governed source mart,,,
999999,GR1,B,1,2,8,2,2,Generated from governed source mart,,,
999999,GR1,B,1,2,9,1,3,Generated from governed source mart,,,
999999,GR1,B,1,2,4,3,5,Generated from governed source mart,,,
999999,GR1,B,1,2,7,1,3,Generated from governed source mart,,,
999999,GR1,B,1,2,5,1,2,Generated from governed source mart,,,
999999,GR1,B,1,2,6,1,3,Generated from governed source mart,,,
999999,GR1,B,1,2,7,3,1,Generated from governed source mart,,,
999999,GR1,B,1,2,3,3,1,Generated from governed source mart,,,
999999,GR1,B,1,2,8,1,3,Generated from governed source mart,,,
999999,GR1,B,1,2,3,2,1,Generated from governed source mart,,,
999999,GR1,B,1,2,6,3,3,Generated from governed source mart,,,
999999,GR1,B,1,2,6,2,1,Generated from governed source mart,,,
999999,GR1,B,1,2,4,2,2,Generated from governed source mart,,,
999999,GR1,B,2,18,6,3,102,Generated from governed source mart,,,
999999,GR1,B,2,18,5,2,52,Generated from governed source mart,,,
999999,GR1,B,2,18,5,3,114,Generated from governed source mart,,,
999999,GR1,B,2,18,6,1,57,Generated from governed source mart,,,
999999,GR1,B,2,18,3,3,96,Generated from governed source mart,,,
999999,GR1,B,2,18,3,2,57,Generated from governed source mart,,,
999999,GR1,B,2,18,9,3,211,Generated from governed source mart,,,
999999,GR1,B,2,18,9,2,114,Generated from governed source mart,,,
999999,GR1,B,2,18,9,1,113,Generated from governed source mart,,,
999999,GR1,B,2,18,7,3,121,Generated from governed source mart,,,
999999,GR1,B,2,18,4,2,52,Generated from governed source mart,,,
999999,GR1,B,2,18,7,1,52,Generated from governed source mart,,,
999999,GR1,B,2,18,6,2,45,Generated from governed source mart,,,
999999,GR1,B,2,18,5,1,56,Generated from governed source mart,,,
999999,GR1,B,2,18,4,3,117,Generated from governed source mart,,,
999999,GR1,B,2,18,4,1,63,Generated from governed source mart,,,
999999,GR1,B,2,18,8,1,47,Generated from governed source mart,,,
999999,GR1,B,2,18,3,1,60,Generated from governed source mart,,,
999999,GR1,B,2,18,8,3,126,Generated from governed source mart,,,
999999,GR1,B,2,18,7,2,51,Generated from governed source mart,,,
999999,GR1,B,2,18,8,2,61,Generated from governed source mart,,,
999999,GR1,C,2,18,,,,Generated from governed source mart,476,438,853
