UNITID,SURVSECT,PART,TENURE,RANK,RACEETHNICITYSEX,COUNT,ReviewStatus,ISMEDICAL,INSTFUNCTION,OCCCATEGORY1,OCCCATEGORY4,OCCCATEGORY3,OCCCATEGORY5,SEX,12mCount,11mCount,10mCount,9mCount,LessThan9mCount,TotalStaff,TotalStaffSalary,12mSoutlays,11mSoutlays,10mSoutlays,9mSoutlays,Equated_9mSoutlays,OCCCATEGORY2,SOUTLAYS
999999,HR1,A1,2,2,3,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,3,5,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,4,8,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,5,9,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,2,14,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,3,15,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,4,1,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,5,4,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,2,7,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,3,10,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,4,11,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,5,13,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,2,1,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,3,3,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,4,6,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,5,7,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,2,12,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,3,13,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,4,15,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,5,2,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,2,5,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,3,8,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,4,9,6,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,5,11,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,2,15,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,3,1,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,4,4,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,5,5,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,2,10,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,3,11,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,4,13,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,5,16,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,3,6,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,4,7,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,2,13,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,4,2,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,5,3,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,2,8,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,3,9,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,5,14,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,3,4,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,4,5,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,2,11,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,4,16,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,5,1,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,2,6,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,3,7,5,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,5,12,3,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,3,2,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,4,3,4,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,2,9,4,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,4,14,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,5,15,4,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,2,4,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,5,10,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,3,16,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
