UNITID,SURVSECT,PART,LINE,RECIPIENT_TYPE,COHORT,EXCLUSION,ADJ_COHORT,ReviewStatus,AWARD_CERTIFICATES,AWARD_ASSOCIATES,AWARD_BACHELORS,ADJ_COHORT_AWARD_TOT,PCT_ADJ_COHORT_AWARD,STILL_ENROLLED,ENROLLED_ANOTHER,ENROLLED_UNKNOWN,NOT_AWARDED_TOTAL,PCT_ADJ_COHORT_ST_EN
999999,OM1,A,1,3,872,2,870,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,
999999,OM1,B,1,3,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,107,546,655,75,,,,,
999999,OM1,C,1,3,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,107,546,655,75,,,,,
999999,OM1,D,1,3,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,107,546,655,75,101,0,116,215,12
999999,OM1,A,3,1,425,0,425,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,
999999,OM1,B,3,1,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,47,272,321,76,,,,,
999999,OM1,C,3,1,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,47,272,321,76,,,,,
999999,OM1,D,3,1,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,47,272,321,76,49,0,55,104,12
999999,OM1,A,1,1,527,1,526,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,
999999,OM1,B,1,1,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,66,329,396,75,,,,,
999999,OM1,C,1,1,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,66,329,396,75,,,,,
999999,OM1,D,1,1,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,66,329,396,75,76,0,55,130,14
999999,OM1,A,1,2,463,1,462,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,
999999,OM1,B,1,2,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,54,290,346,75,,,,,
999999,OM1,C,1,2,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,54,290,346,75,,,,,
999999,OM1,D,1,2,,,,Generated from the disclosed package input contract; review the package source-readiness classification,2,54,290,346,75,62,0,55,116,13
999999,OM1,A,3,2,366,2,364,Generated from the disclosed package input contract; review the package source-readiness classification,,,,,,,,,,
999999,OM1,B,3,2,,,,Generated from the disclosed package input contract; review the package source-readiness classification,1,56,215,272,75,,,,,
