issue_id,severity,title,rule_id,affected_records,owner,source_system,status,opened_at,resolved_at
DQ-1001,Critical,Full-time status conflicts with attempted credits,UG_FT_CREDIT_THRESHOLD,146,Registrar,SIS student term,Open,2025-09-01 08:00,
DQ-1002,High,Fall headcount changed outside the expected band,YOY_HEADCOUNT_VARIANCE,808,Institutional Research,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1003,High,Race and ethnicity value is missing,DEMOGRAPHIC_COMPLETENESS,119,Admissions,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1004,High,Financial aid records lack term enrollment,AID_WITHOUT_ENROLLMENT,23,Student Financial Services,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1005,Medium,Program CIP changed without a bridge record,CIP_EFFECTIVE_DATING,307,Academic Affairs,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1006,Critical,Synthetic governance exception 6,GOVERNANCE_RULE_06,31,Registrar,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1007,Critical,Synthetic governance exception 7,GOVERNANCE_RULE_07,48,Enterprise Systems,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1008,High,Synthetic governance exception 8,GOVERNANCE_RULE_08,65,Financial Aid,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1009,High,Synthetic governance exception 9,GOVERNANCE_RULE_09,9,Financial Aid,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1010,High,Synthetic governance exception 10,GOVERNANCE_RULE_10,26,Admissions,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1011,High,Synthetic governance exception 11,GOVERNANCE_RULE_11,43,Enterprise Systems,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1012,High,Synthetic governance exception 12,GOVERNANCE_RULE_12,60,Enterprise Systems,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1013,High,Synthetic governance exception 13,GOVERNANCE_RULE_13,4,Enterprise Systems,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1014,High,Synthetic governance exception 14,GOVERNANCE_RULE_14,21,Enterprise Systems,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1015,Medium,Synthetic governance exception 15,GOVERNANCE_RULE_15,38,Academic Affairs,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1016,Medium,Synthetic governance exception 16,GOVERNANCE_RULE_16,55,Financial Aid,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1017,Medium,Synthetic governance exception 17,GOVERNANCE_RULE_17,72,Registrar,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1018,Medium,Synthetic governance exception 18,GOVERNANCE_RULE_18,16,Academic Affairs,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1019,Medium,Synthetic governance exception 19,GOVERNANCE_RULE_19,33,Registrar,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1020,Medium,Synthetic governance exception 20,GOVERNANCE_RULE_20,50,Financial Aid,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1021,Medium,Synthetic governance exception 21,GOVERNANCE_RULE_21,67,Admissions,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1022,Medium,Synthetic governance exception 22,GOVERNANCE_RULE_22,11,Academic Affairs,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1023,Medium,Synthetic governance exception 23,GOVERNANCE_RULE_23,28,Financial Aid,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1024,Medium,Synthetic governance exception 24,GOVERNANCE_RULE_24,45,Academic Affairs,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1025,Medium,Synthetic governance exception 25,GOVERNANCE_RULE_25,62,Registrar,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1026,Medium,Synthetic governance exception 26,GOVERNANCE_RULE_26,6,Financial Aid,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-1027,Medium,Synthetic governance exception 27,GOVERNANCE_RULE_27,23,Admissions,Enterprise data warehouse,Open,2025-09-01 08:00,
DQ-R001,Medium,Resolved synthetic exception 1,RESOLVED_RULE_01,14,Registrar,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-12 12:00
