aid_record_id,student_id,term_id,aid_year,pell_eligible,pell_recipient,pell_amount,federal_loan_recipient,federal_loan_amount
AID2025-000001,S0037863,2025FA,2025-26,0,0,0,1,5500
AID2025-000002,S0007826,2025FA,2025-26,0,0,0,0,0
AID2025-000003,S0028090,2025FA,2025-26,1,1,7395,0,0
AID2025-000004,S0005095,2025FA,2025-26,1,1,7395,1,5500
AID2025-000005,S0011864,2025FA,2025-26,0,0,0,0,0
AID2025-000006,S0007953,2025FA,2025-26,1,1,7395,0,0
AID2025-000007,S0029223,2025FA,2025-26,0,0,0,1,5500
AID2025-000008,S0037106,2025FA,2025-26,1,0,0,0,0
AID2025-000009,S0039000,2025FA,2025-26,0,0,0,0,0
AID2025-000010,S0018284,2025FA,2025-26,0,0,0,1,5500
AID2025-000011,S0007302,2025FA,2025-26,0,0,0,0,0
AID2025-000012,S0033844,2025FA,2025-26,1,1,7395,0,0
AID2025-000013,S0037828,2025FA,2025-26,0,0,0,1,5500
AID2025-000014,S0033781,2025FA,2025-26,0,0,0,0,0
AID2025-000015,S0006955,2025FA,2025-26,0,0,0,0,0
AID2025-000016,S0036889,2025FA,2025-26,1,1,7395,1,5500
AID2025-000017,S0025845,2025FA,2025-26,0,0,0,0,0
AID2025-000018,S0017123,2025FA,2025-26,0,0,0,0,0
AID2025-000019,S0029494,2025FA,2025-26,0,0,0,1,5500
AID2025-000020,S0008693,2025FA,2025-26,1,1,7395,0,0
AID2025-000021,S0040157,2025FA,2025-26,0,0,0,0,0
AID2025-000022,S0036313,2025FA,2025-26,1,0,0,1,5500
AID2025-000023,S0009907,2025FA,2025-26,1,1,7395,0,0
AID2025-000024,S0030899,2025FA,2025-26,0,0,0,0,0
AID2025-000025,S0037796,2025FA,2025-26,1,1,7395,1,5500
AID2025-000026,S0036137,2025FA,2025-26,0,0,0,0,0
AID2025-000027,S0018026,2025FA,2025-26,0,0,0,0,0
AID2025-000028,S0039412,2025FA,2025-26,1,1,7395,1,5500
AID2025-000029,S0032407,2025FA,2025-26,0,0,0,0,0
AID2025-000030,S0023217,2025FA,2025-26,0,0,0,0,0
AID2025-000031,S0040093,2025FA,2025-26,0,0,0,1,5500
AID2025-000032,S0017458,2025FA,2025-26,1,1,7395,0,0
AID2025-000033,S0010987,2025FA,2025-26,1,1,7395,0,0
AID2025-000034,S0033392,2025FA,2025-26,0,0,0,1,5500
AID2025-000035,S0039394,2025FA,2025-26,0,0,0,0,0
AID2025-000036,S0032904,2025FA,2025-26,0,0,0,0,0
AID2025-000037,S0035496,2025FA,2025-26,0,0,0,1,5500
AID2025-000038,S0010304,2025FA,2025-26,1,1,7395,0,0
AID2025-000039,S0023708,2025FA,2025-26,1,1,7395,0,0
AID2025-000040,S0008431,2025FA,2025-26,0,0,0,1,5500
AID2025-000041,S0040425,2025FA,2025-26,1,1,7395,0,0
AID2025-000042,S0032093,2025FA,2025-26,1,1,7395,0,0
AID2025-000043,S0033009,2025FA,2025-26,0,0,0,1,5500
AID2025-000044,S0023272,2025FA,2025-26,1,1,7395,0,0
AID2025-000045,S0021771,2025FA,2025-26,0,0,0,0,0
AID2025-000046,S0011515,2025FA,2025-26,1,1,7395,1,5500
AID2025-000047,S0006399,2025FA,2025-26,0,0,0,0,0
AID2025-000048,S0018823,2025FA,2025-26,0,0,0,0,0
AID2025-000049,S0038010,2025FA,2025-26,0,0,0,1,5500
AID2025-000050,S0026617,2025FA,2025-26,0,0,0,0,0
AID2025-000051,S0039731,2025FA,2025-26,0,0,0,0,0
AID2025-000052,S0014808,2025FA,2025-26,1,1,7395,1,5500
AID2025-000053,S0039515,2025FA,2025-26,0,0,0,0,0
AID2025-000054,S0010223,2025FA,2025-26,1,1,7395,0,0
AID2025-000055,S0003281,2025FA,2025-26,1,1,7395,1,5500
AID2025-000056,S0032729,2025FA,2025-26,0,0,0,0,0
AID2025-000057,S0021159,2025FA,2025-26,1,0,0,0,0
AID2025-000058,S0003565,2025FA,2025-26,0,0,0,1,5500
AID2025-000059,S0023174,2025FA,2025-26,0,0,0,0,0
AID2025-000060,S0001768,2025FA,2025-26,0,0,0,0,0
AID2025-000061,S0009388,2025FA,2025-26,0,0,0,1,5500
AID2025-000062,S0036888,2025FA,2025-26,1,1,7395,0,0
AID2025-000063,S0034349,2025FA,2025-26,0,0,0,0,0
AID2025-000064,S0022964,2025FA,2025-26,0,0,0,1,5500
AID2025-000065,S0035509,2025FA,2025-26,0,0,0,0,0
AID2025-000066,S0036002,2025FA,2025-26,0,0,0,0,0
AID2025-000067,S0027381,2025FA,2025-26,0,0,0,1,5500
AID2025-000068,S0033589,2025FA,2025-26,0,0,0,0,0
AID2025-000069,S0037575,2025FA,2025-26,0,0,0,0,0
AID2025-000070,S0029142,2025FA,2025-26,1,1,7395,1,5500
AID2025-000071,S0032322,2025FA,2025-26,0,0,0,0,0
AID2025-000072,S0036519,2025FA,2025-26,0,0,0,0,0
AID2025-000073,S0037964,2025FA,2025-26,0,0,0,1,5500
AID2025-000074,S0036155,2025FA,2025-26,0,0,0,0,0
AID2025-000075,S0026434,2025FA,2025-26,0,0,0,0,0
AID2025-000076,S0018846,2025FA,2025-26,0,0,0,1,5500
AID2025-000077,S0038261,2025FA,2025-26,0,0,0,0,0
AID2025-000078,S0035744,2025FA,2025-26,0,0,0,0,0
AID2025-000079,S0036049,2025FA,2025-26,0,0,0,1,5500
AID2025-000080,S0036615,2025FA,2025-26,1,1,7395,0,0
AID2025-000081,S0029018,2025FA,2025-26,0,0,0,0,0
AID2025-000082,S0009239,2025FA,2025-26,0,0,0,1,5500
AID2025-000083,S0035805,2025FA,2025-26,0,0,0,0,0
AID2025-000084,S0020966,2025FA,2025-26,0,0,0,0,0
AID2025-000085,S0023611,2025FA,2025-26,1,0,0,1,5500
AID2025-000086,S0035566,2025FA,2025-26,0,0,0,0,0
AID2025-000087,S0035323,2025FA,2025-26,1,1,7395,0,0
AID2025-000088,S0011891,2025FA,2025-26,0,0,0,1,5500
AID2025-000089,S0024230,2025FA,2025-26,0,0,0,0,0
AID2025-000090,S0017587,2025FA,2025-26,0,0,0,0,0
AID2025-000091,S0020739,2025FA,2025-26,0,0,0,1,5500
AID2025-000092,S0027458,2025FA,2025-26,0,0,0,0,0
AID2025-000093,S0036490,2025FA,2025-26,1,1,7395,0,0
AID2025-000094,S0030528,2025FA,2025-26,1,1,7395,1,5500
AID2025-000095,S0003706,2025FA,2025-26,0,0,0,0,0
AID2025-000096,S0003169,2025FA,2025-26,0,0,0,0,0
AID2025-000097,S0031128,2025FA,2025-26,0,0,0,1,5500
AID2025-000098,S0033972,2025FA,2025-26,0,0,0,0,0
AID2025-000099,S0019196,2025FA,2025-26,0,0,0,0,0
AID2025-000100,S0036117,2025FA,2025-26,0,0,0,1,5500
AID2025-000101,S0038247,2025FA,2025-26,0,0,0,0,0
