section_id,student_id,term_id,enrollment_status,final_grade
PBA-2025FA-01,S0036326,2025FA,Enrolled,
PBA-2025FA-01,S0028540,2025FA,Enrolled,
PBA-2025FA-01,S0031440,2025FA,Enrolled,
PBA-2025FA-01,S0037958,2025FA,Enrolled,
PBA-2025FA-01,S0032581,2025FA,Enrolled,
PBA-2025FA-01,S0019060,2025FA,Enrolled,
PBA-2025FA-01,S0004650,2025FA,Enrolled,
PBA-2025FA-01,S0037020,2025FA,Enrolled,
PBA-2025FA-01,S0038412,2025FA,Enrolled,
PBA-2025FA-01,S0010379,2025FA,Enrolled,
PBA-2025FA-01,S0040082,2025FA,Enrolled,
PBA-2025FA-01,S0038857,2025FA,Enrolled,
PBA-2025FA-01,S0038722,2025FA,Enrolled,
PBA-2025FA-01,S0028537,2025FA,Enrolled,
PBA-2025FA-01,S0032374,2025FA,Enrolled,
PBA-2025FA-01,S0021118,2025FA,Enrolled,
PBA-2025FA-01,S0035410,2025FA,Enrolled,
PBA-2025FA-01,S0015482,2025FA,Enrolled,
PBA-2025FA-01,S0022477,2025FA,Enrolled,
PBA-2025FA-01,S0033854,2025FA,Enrolled,
PBA-2025FA-01,S0038761,2025FA,Enrolled,
PBA-2025FA-01,S0003916,2025FA,Enrolled,
PBA-2025FA-01,S0016741,2025FA,Enrolled,
PBA-2025FA-01,S0018008,2025FA,Enrolled,
PBA-2025FA-01,S0029110,2025FA,Enrolled,
PBA-2025FA-01,S0033326,2025FA,Enrolled,
PBA-2025FA-01,S0038853,2025FA,Enrolled,
PBA-2025FA-01,S0027719,2025FA,Enrolled,
PBA-2025FA-02,S0019538,2025FA,Enrolled,
PBA-2025FA-02,S0037566,2025FA,Enrolled,
PBA-2025FA-02,S0028206,2025FA,Enrolled,
PBA-2025FA-02,S0009434,2025FA,Enrolled,
PBA-2025FA-02,S0000507,2025FA,Enrolled,
PBA-2025FA-02,S0031796,2025FA,Enrolled,
PBA-2025FA-02,S0028518,2025FA,Enrolled,
PBA-2025FA-02,S0039066,2025FA,Enrolled,
PBA-2025FA-02,S0037893,2025FA,Enrolled,
PBA-2025FA-02,S0029547,2025FA,Enrolled,
PBA-2025FA-02,S0026301,2025FA,Enrolled,
PBA-2025FA-02,S0032926,2025FA,Enrolled,
PBA-2025FA-02,S0012601,2025FA,Enrolled,
PBA-2025FA-02,S0039081,2025FA,Enrolled,
PBA-2025FA-02,S0039955,2025FA,Enrolled,
PBA-2025FA-02,S0023240,2025FA,Enrolled,
PBA-2025FA-02,S0036532,2025FA,Enrolled,
PBA-2025FA-02,S0028094,2025FA,Enrolled,
PBA-2025FA-02,S0036908,2025FA,Enrolled,
PBA-2025FA-02,S0036982,2025FA,Enrolled,
PBA-2025FA-02,S0026846,2025FA,Enrolled,
PBA-2025FA-02,S0002066,2025FA,Enrolled,
PBA-2025FA-02,S0021813,2025FA,Enrolled,
PBA-2025FA-02,S0033237,2025FA,Enrolled,
PBA-2025FA-02,S0027603,2025FA,Enrolled,
PBA-2025FA-02,S0033545,2025FA,Enrolled,
PBA-2025FA-02,S0039564,2025FA,Enrolled,
PBA-2025FA-02,S0032055,2025FA,Enrolled,
PBA-2025FA-03,S0003389,2025FA,Enrolled,
PBA-2025FA-03,S0040515,2025FA,Enrolled,
PBA-2025FA-03,S0022722,2025FA,Enrolled,
PBA-2025FA-03,S0038637,2025FA,Enrolled,
PBA-2025FA-03,S0028594,2025FA,Enrolled,
PBA-2025FA-03,S0037922,2025FA,Enrolled,
PBA-2025FA-03,S0027819,2025FA,Enrolled,
PBA-2025FA-03,S0015122,2025FA,Enrolled,
PBA-2025FA-03,S0033285,2025FA,Enrolled,
PBA-2025FA-03,S0039717,2025FA,Enrolled,
PBA-2025FA-03,S0001297,2025FA,Enrolled,
PBA-2025FA-03,S0001692,2025FA,Enrolled,
PBA-2025FA-03,S0012031,2025FA,Enrolled,
PBA-2025FA-03,S0003084,2025FA,Enrolled,
PBA-2025FA-03,S0012763,2025FA,Enrolled,
PBA-2025FA-03,S0036052,2025FA,Enrolled,
PBA-2025FA-03,S0010576,2025FA,Enrolled,
PBA-2025FA-03,S0033522,2025FA,Enrolled,
PBA-2025FA-03,S0007302,2025FA,Enrolled,
