section_id,term_id,program_id,course_code,modality,section_capacity,instructor_type
PBA-2025FA-01,2025FA,PBA,BA-501,In person,30,Full-time
PBA-2025FA-02,2025FA,PBA,BA-502,In person,30,Full-time
PBA-2025FA-03,2025FA,PBA,BA-503,Online,30,Full-time
PBA-2025FA-04,2025FA,PBA,BA-504,In person,30,Adjunct
PBA-2025FA-05,2025FA,PBA,BA-505,In person,30,Full-time
PBA-2025FA-06,2025FA,PBA,BA-506,Online,30,Full-time
PBA-2025FA-07,2025FA,PBA,BA-507,In person,30,Full-time
PBA-2025FA-08,2025FA,PBA,BA-508,In person,30,Adjunct
PBA-2025FA-09,2025FA,PBA,BA-509,Online,30,Full-time
PBA-2025FA-10,2025FA,PBA,BA-510,In person,30,Full-time
PBA-2025FA-11,2025FA,PBA,BA-511,In person,30,Full-time
PBA-2025FA-12,2025FA,PBA,BA-512,Online,30,Adjunct
PBA-2025FA-13,2025FA,PBA,BA-513,In person,30,Full-time
PBA-2025FA-14,2025FA,PBA,BA-514,In person,30,Full-time
PBA-2025FA-15,2025FA,PBA,BA-515,Online,30,Full-time
PBA-2025FA-16,2025FA,PBA,BA-516,In person,30,Adjunct
PBA-2025FA-17,2025FA,PBA,BA-517,In person,30,Full-time
PBA-2025FA-18,2025FA,PBA,BA-518,Online,30,Full-time
PBA-2025FA-19,2025FA,PBA,BA-519,In person,30,Full-time
PBA-2025FA-20,2025FA,PBA,BA-520,In person,30,Adjunct
PBA-2025FA-21,2025FA,PBA,BA-521,Online,30,Full-time
PBA-2025FA-22,2025FA,PBA,BA-522,In person,30,Full-time
PBA-2025FA-23,2025FA,PBA,BA-523,In person,30,Full-time
PBA-2025FA-24,2025FA,PBA,BA-524,Online,30,Adjunct
PBA-2025FA-25,2025FA,PBA,BA-525,In person,30,Full-time
PBA-2025FA-26,2025FA,PBA,BA-526,In person,30,Full-time
PBA-2025FA-27,2025FA,PBA,BA-527,Online,30,Full-time
PBA-2025FA-28,2025FA,PBA,BA-528,In person,30,Adjunct
PBA-2025FA-29,2025FA,PBA,BA-529,In person,30,Full-time
PBA-2025FA-30,2025FA,PBA,BA-530,Online,30,Full-time
PBA-2025FA-31,2025FA,PBA,BA-531,In person,30,Full-time
PBA-2025FA-32,2025FA,PBA,BA-532,In person,30,Adjunct
PBA-2025FA-33,2025FA,PBA,BA-533,Online,30,Full-time
PBA-2025FA-34,2025FA,PBA,BA-534,In person,30,Full-time
PBA-2025FA-35,2025FA,PBA,BA-535,In person,30,Full-time
PBA-2025FA-36,2025FA,PBA,BA-536,Online,30,Adjunct
PBA-2025FA-37,2025FA,PBA,BA-537,In person,30,Full-time
PBA-2025FA-38,2025FA,PBA,BA-538,In person,30,Full-time
PBA-2025FA-39,2025FA,PBA,BA-539,Online,30,Full-time
PBA-2025FA-40,2025FA,PBA,BA-540,In person,30,Adjunct
PBA-2025FA-41,2025FA,PBA,BA-541,In person,30,Full-time
PBA-2025FA-42,2025FA,PBA,BA-542,Online,30,Full-time
PBA-2025FA-43,2025FA,PBA,BA-543,In person,30,Full-time
PBA-2025FA-44,2025FA,PBA,BA-544,In person,30,Adjunct
PBA-2025FA-45,2025FA,PBA,BA-545,Online,30,Full-time
PBA-2025FA-46,2025FA,PBA,BA-546,In person,30,Full-time
PBA-2025FA-47,2025FA,PBA,BA-547,In person,30,Full-time
PBA-2025FA-48,2025FA,PBA,BA-548,Online,30,Adjunct
PBA-2025FA-49,2025FA,PBA,BA-549,In person,30,Full-time
PBA-2025FA-50,2025FA,PBA,BA-550,In person,30,Full-time
PBA-2025FA-51,2025FA,PBA,BA-551,Online,30,Full-time
PBA-2025FA-52,2025FA,PBA,BA-552,In person,30,Adjunct
PBA-2025FA-53,2025FA,PBA,BA-553,In person,30,Full-time
PBA-2025FA-54,2025FA,PBA,BA-554,Online,30,Full-time
PBA-2025FA-55,2025FA,PBA,BA-555,In person,30,Full-time
PBA-2025FA-56,2025FA,PBA,BA-556,In person,30,Adjunct
PBA-2025FA-57,2025FA,PBA,BA-557,Online,30,Full-time
PBA-2025FA-58,2025FA,PBA,BA-558,In person,30,Full-time
PBA-2025FA-59,2025FA,PBA,BA-559,In person,30,Full-time
PBA-2025FA-60,2025FA,PBA,BA-560,Online,30,Adjunct
PBA-2025FA-61,2025FA,PBA,BA-561,In person,30,Full-time
PBA-2025FA-62,2025FA,PBA,BA-562,In person,30,Full-time
PBA-2025FA-63,2025FA,PBA,BA-563,Online,30,Full-time
PBA-2025FA-64,2025FA,PBA,BA-564,In person,30,Adjunct
PBA-2025FA-65,2025FA,PBA,BA-565,In person,30,Full-time
PBA-2025FA-66,2025FA,PBA,BA-566,Online,30,Full-time
PBA-2025FA-67,2025FA,PBA,BA-567,In person,30,Full-time
PBA-2025FA-68,2025FA,PBA,BA-568,In person,30,Adjunct
PBA-2025FA-69,2025FA,PBA,BA-569,Online,30,Full-time
PBA-2025FA-70,2025FA,PBA,BA-570,In person,30,Full-time
PBA-2025FA-71,2025FA,PBA,BA-571,In person,30,Full-time
PBA-2025FA-72,2025FA,PBA,BA-572,Online,30,Adjunct
PCS-2025FA-01,2025FA,PCS,CS-501,In person,35,Full-time
PCS-2025FA-02,2025FA,PCS,CS-502,In person,35,Full-time
PCS-2025FA-03,2025FA,PCS,CS-503,Online,35,Full-time
PCS-2025FA-04,2025FA,PCS,CS-504,In person,35,Adjunct
PCS-2025FA-05,2025FA,PCS,CS-505,In person,35,Full-time
PCS-2025FA-06,2025FA,PCS,CS-506,Online,35,Full-time
PCS-2025FA-07,2025FA,PCS,CS-507,In person,35,Full-time
