student_id,term_id,program_id,level,attempted_credits,attendance_status,census_enrolled,reportable,academic_status
S0008050,2020FA,PBA,GR,3,P,1,1,Good Standing
S0005418,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010162,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006985,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014332,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006516,2020FA,PBA,GR,3,P,1,1,Academic Warning
S0009246,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001632,2020FA,PBA,GR,9,F,1,1,Good Standing
S0017487,2020FA,PBA,GR,9,F,1,1,Good Standing
S0007904,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010834,2020FA,PBA,GR,3,P,1,1,Good Standing
S0009888,2020FA,PBA,GR,9,F,1,1,Good Standing
S0003736,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014755,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0013715,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001889,2020FA,PBA,GR,3,P,1,1,Good Standing
S0017483,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001325,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010474,2020FA,PBA,GR,9,F,1,1,Good Standing
S0011999,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0007326,2020FA,PBA,GR,3,P,1,1,Good Standing
S0013157,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000580,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0002790,2020FA,PBA,GR,9,F,1,1,Good Standing
S0003106,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012920,2020FA,PBA,GR,3,P,1,1,Good Standing
S0002217,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000235,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016751,2020FA,PBA,GR,9,F,1,1,Good Standing
S0008367,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009182,2020FA,PBA,GR,3,P,1,1,Good Standing
S0013369,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010949,2020FA,PBA,GR,9,F,1,1,Good Standing
S0002714,2020FA,PBA,GR,9,F,1,1,Good Standing
