student_id,birth_year,gender,race_ethnicity,residency,first_generation,pell_eligible,entry_term_id,entry_type,degree_seeking,ftft_cohort_term_id,primary_program_id
S0000001,1992,Nonbinary,Native Hawaiian or Other Pacific Islander,International,0,1,2020FA,First-time,1,2020FA,PEDU
S0000002,2002,Man,Native Hawaiian or Other Pacific Islander,In-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000003,1978,Man,Native Hawaiian or Other Pacific Islander,International,1,1,2020FA,First-time,1,2020FA,PPSY
S0000004,2000,Man,White,Out-of-state,1,0,2020FA,First-time,1,2020FA,PGEN
S0000005,1990,Woman,Hispanic or Latino,Out-of-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000006,1989,Woman,Hispanic or Latino,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000007,1999,Woman,Two or more races,Out-of-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000008,1978,Unknown,Native Hawaiian or Other Pacific Islander,In-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000009,1992,Man,Nonresident,In-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000010,2004,Man,Black or African American,International,1,0,2020FA,First-time,1,2020FA,PPSY
S0000011,1978,Woman,Black or African American,Out-of-state,1,1,2020FA,First-time,1,2020FA,PPSY
S0000012,2005,Unknown,Asian,In-state,0,1,2020FA,First-time,1,2020FA,PMATH
S0000013,1997,Woman,Two or more races,Out-of-state,0,1,2020FA,First-time,1,2020FA,PBUS
S0000014,1997,Nonbinary,Hispanic or Latino,Out-of-state,1,0,2020FA,First-time,1,2020FA,PGEN
S0000015,1984,Nonbinary,Nonresident,In-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000016,1996,Woman,Asian,International,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000017,1982,Woman,Native Hawaiian or Other Pacific Islander,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000018,2001,Unknown,Asian,International,0,0,2020FA,First-time,1,2020FA,PBIO
S0000019,2006,Woman,Two or more races,International,0,1,2020FA,First-time,1,2020FA,PENG
S0000020,2002,Woman,Asian,Out-of-state,1,1,2020FA,First-time,1,2020FA,PCRJ
S0000021,1993,Man,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000022,1987,Unknown,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PBIO
S0000023,1986,Nonbinary,American Indian or Alaska Native,International,1,0,2020FA,First-time,1,2020FA,PBUS
S0000024,1983,Unknown,Hispanic or Latino,Out-of-state,1,0,2020FA,First-time,1,2020FA,PENG
S0000025,1998,Man,Nonresident,International,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000026,2006,Man,Nonresident,In-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000027,1991,Woman,Nonresident,International,1,0,2020FA,First-time,1,2020FA,PBUS
S0000028,1982,Man,Hispanic or Latino,International,0,1,2020FA,First-time,1,2020FA,PMATH
S0000029,2004,Nonbinary,Two or more races,In-state,1,1,2020FA,First-time,1,2020FA,PCRJ
S0000030,1989,Unknown,Asian,International,0,0,2020FA,First-time,1,2020FA,PENG
S0000031,1982,Nonbinary,White,Out-of-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000032,1978,Man,Hispanic or Latino,In-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000033,1997,Unknown,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000034,1979,Man,Native Hawaiian or Other Pacific Islander,In-state,1,0,2020FA,First-time,1,2020FA,PBIO
S0000035,1988,Woman,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000036,2003,Man,Two or more races,In-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000037,2005,Nonbinary,Two or more races,International,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000038,1985,Unknown,Nonresident,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000039,1988,Woman,Black or African American,In-state,1,0,2020FA,First-time,1,2020FA,PENG
S0000040,1999,Man,Native Hawaiian or Other Pacific Islander,Out-of-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000041,2004,Nonbinary,American Indian or Alaska Native,Out-of-state,1,0,2020FA,First-time,1,2020FA,PMATH
S0000042,1979,Man,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000043,2000,Woman,American Indian or Alaska Native,In-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000044,1987,Unknown,Asian,International,0,0,2020FA,First-time,1,2020FA,PEDU
S0000045,1981,Woman,American Indian or Alaska Native,In-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000046,1989,Man,Two or more races,Out-of-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000047,1993,Woman,White,Out-of-state,0,1,2020FA,First-time,1,2020FA,PPSY
S0000048,1985,Woman,Native Hawaiian or Other Pacific Islander,International,0,1,2020FA,First-time,1,2020FA,PENG
S0000049,1989,Man,American Indian or Alaska Native,Out-of-state,0,1,2020FA,First-time,1,2020FA,PBUS
S0000050,1981,Man,Nonresident,In-state,0,1,2020FA,First-time,1,2020FA,PBIO
S0000051,1978,Woman,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000052,2005,Nonbinary,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PEDU
S0000053,1978,Nonbinary,Black or African American,Out-of-state,0,1,2020FA,First-time,1,2020FA,PBIO
S0000054,1998,Nonbinary,Two or more races,Out-of-state,1,1,2020FA,First-time,1,2020FA,PBIO
S0000055,1999,Unknown,Nonresident,International,1,0,2020FA,First-time,1,2020FA,PENG
S0000056,1997,Woman,Hispanic or Latino,International,0,0,2020FA,First-time,1,2020FA,PPSY
S0000057,1990,Unknown,Native Hawaiian or Other Pacific Islander,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000058,1997,Unknown,White,Out-of-state,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000059,1997,Man,Nonresident,International,0,0,2020FA,First-time,1,2020FA,PPSY
S0000060,1993,Nonbinary,Nonresident,Out-of-state,1,0,2020FA,First-time,1,2020FA,PMATH
S0000061,1994,Unknown,Two or more races,International,1,0,2020FA,First-time,1,2020FA,PBUS
S0000062,1985,Woman,Asian,International,0,1,2020FA,First-time,1,2020FA,PGEN
S0000063,1981,Nonbinary,Hispanic or Latino,In-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000064,1990,Nonbinary,Black or African American,In-state,0,0,2020FA,First-time,1,2020FA,PEDU
S0000065,1994,Nonbinary,Asian,In-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000066,1991,Woman,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000067,1997,Nonbinary,White,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000068,1980,Unknown,Two or more races,In-state,1,1,2020FA,First-time,1,2020FA,PBIO
S0000069,2006,Woman,Asian,Out-of-state,0,1,2020FA,First-time,1,2020FA,PMATH
S0000070,1986,Woman,White,Out-of-state,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000071,1984,Unknown,Black or African American,In-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000072,1980,Nonbinary,Two or more races,International,0,0,2020FA,First-time,1,2020FA,PEDU
S0000073,1995,Man,Nonresident,International,0,1,2020FA,First-time,1,2020FA,PEDU
S0000074,1990,Woman,Hispanic or Latino,International,0,0,2020FA,First-time,1,2020FA,PENG
S0000075,1979,Nonbinary,Nonresident,In-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000076,2001,Woman,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000077,1995,Nonbinary,Black or African American,International,0,0,2020FA,First-time,1,2020FA,PMATH
S0000078,1990,Nonbinary,Native Hawaiian or Other Pacific Islander,In-state,1,0,2020FA,First-time,1,2020FA,PENG
S0000079,1998,Woman,White,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000080,1993,Man,Asian,In-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000081,1992,Woman,White,International,1,1,2020FA,First-time,1,2020FA,PCRJ
S0000082,1999,Nonbinary,White,International,0,0,2020FA,First-time,1,2020FA,PMATH
S0000083,1982,Woman,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000084,1986,Unknown,Asian,In-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000085,1982,Nonbinary,Nonresident,In-state,0,0,2020FA,First-time,1,2020FA,PEDU
S0000086,1992,Unknown,Native Hawaiian or Other Pacific Islander,Out-of-state,0,1,2020FA,First-time,1,2020FA,PBIO
S0000087,1995,Unknown,Native Hawaiian or Other Pacific Islander,Out-of-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000088,2005,Woman,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000089,1996,Woman,Asian,International,0,1,2020FA,First-time,1,2020FA,PGEN
S0000090,2001,Woman,Asian,International,0,0,2020FA,First-time,1,2020FA,PBUS
S0000091,1995,Nonbinary,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000092,1984,Woman,Nonresident,International,0,1,2020FA,First-time,1,2020FA,PMATH
S0000093,1991,Unknown,Nonresident,Out-of-state,0,1,2020FA,First-time,1,2020FA,PBUS
S0000094,1993,Man,American Indian or Alaska Native,International,1,0,2020FA,First-time,1,2020FA,PBIO
S0000095,1980,Unknown,Hispanic or Latino,Out-of-state,1,1,2020FA,First-time,1,2020FA,PENG
S0000096,1997,Woman,Nonresident,International,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000097,1992,Unknown,Two or more races,In-state,1,1,2020FA,First-time,1,2020FA,PGEN
S0000098,1989,Unknown,Native Hawaiian or Other Pacific Islander,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBIO
S0000099,1985,Nonbinary,Native Hawaiian or Other Pacific Islander,International,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000100,1996,Nonbinary,Black or African American,In-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000101,2001,Man,Two or more races,Out-of-state,0,1,2020FA,First-time,1,2020FA,PMATH
S0000102,2003,Nonbinary,Nonresident,In-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000103,1997,Nonbinary,Black or African American,International,1,0,2020FA,First-time,1,2020FA,PPSY
S0000104,1988,Man,Two or more races,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000105,2003,Woman,American Indian or Alaska Native,In-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000106,1989,Unknown,Black or African American,International,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000107,1983,Unknown,White,International,0,1,2020FA,First-time,1,2020FA,PBIO
S0000108,2001,Woman,Hispanic or Latino,International,0,1,2020FA,First-time,1,2020FA,PGEN
S0000109,1992,Man,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000110,1980,Woman,White,In-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000111,1979,Man,Native Hawaiian or Other Pacific Islander,In-state,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000112,2002,Man,Nonresident,International,1,0,2020FA,First-time,1,2020FA,PEDU
S0000113,2001,Nonbinary,Two or more races,International,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000114,1978,Unknown,Two or more races,International,1,0,2020FA,First-time,1,2020FA,PEDU
S0000115,1999,Man,Hispanic or Latino,International,0,0,2020FA,First-time,1,2020FA,PMATH
S0000116,1983,Nonbinary,Native Hawaiian or Other Pacific Islander,Out-of-state,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000117,1984,Unknown,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000118,2006,Nonbinary,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000119,1983,Unknown,White,Out-of-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000120,1986,Nonbinary,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PENG
S0000121,1994,Unknown,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PENG
S0000122,1997,Man,Two or more races,In-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000123,1994,Man,Hispanic or Latino,Out-of-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000124,1994,Man,Black or African American,In-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000125,2004,Woman,Native Hawaiian or Other Pacific Islander,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000126,1995,Woman,White,In-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000127,1988,Nonbinary,Two or more races,International,0,0,2020FA,First-time,1,2020FA,PEDU
S0000128,1980,Man,Nonresident,International,0,0,2020FA,First-time,1,2020FA,PBUS
S0000129,1999,Woman,Native Hawaiian or Other Pacific Islander,Out-of-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000130,1981,Nonbinary,Black or African American,In-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000131,1990,Nonbinary,Asian,International,1,1,2020FA,First-time,1,2020FA,PEDU
S0000132,2004,Woman,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000133,1999,Nonbinary,American Indian or Alaska Native,In-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000134,1987,Man,Nonresident,In-state,1,1,2020FA,First-time,1,2020FA,PBIO
S0000135,2006,Man,Black or African American,International,0,1,2020FA,First-time,1,2020FA,PGEN
S0000136,2002,Nonbinary,Black or African American,In-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000137,1979,Woman,Native Hawaiian or Other Pacific Islander,Out-of-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000138,1984,Nonbinary,Two or more races,International,0,1,2020FA,First-time,1,2020FA,PBIO
S0000139,1992,Nonbinary,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PGEN
S0000140,1993,Nonbinary,Black or African American,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBIO
S0000141,1980,Nonbinary,American Indian or Alaska Native,In-state,1,0,2020FA,First-time,1,2020FA,PBIO
S0000142,1997,Man,Black or African American,International,1,0,2020FA,First-time,1,2020FA,PPSY
S0000143,2001,Woman,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000144,1991,Unknown,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000145,1994,Unknown,Hispanic or Latino,In-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000146,1984,Woman,Hispanic or Latino,Out-of-state,0,1,2020FA,First-time,1,2020FA,PBIO
S0000147,1981,Nonbinary,Asian,In-state,1,0,2020FA,First-time,1,2020FA,PMATH
S0000148,2004,Unknown,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000149,1995,Unknown,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000150,1991,Unknown,Nonresident,International,1,1,2020FA,First-time,1,2020FA,PMATH
S0000151,2002,Unknown,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000152,1979,Nonbinary,Hispanic or Latino,Out-of-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000153,1994,Unknown,Two or more races,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000154,1994,Nonbinary,Black or African American,Out-of-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000155,2002,Unknown,Native Hawaiian or Other Pacific Islander,International,1,1,2020FA,First-time,1,2020FA,PPSY
S0000156,2001,Man,Nonresident,International,0,0,2020FA,First-time,1,2020FA,PMATH
S0000157,1984,Unknown,American Indian or Alaska Native,Out-of-state,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000158,2000,Nonbinary,Asian,In-state,1,1,2020FA,First-time,1,2020FA,PENG
S0000159,1984,Unknown,Nonresident,International,0,0,2020FA,First-time,1,2020FA,PBIO
